temps(en s)	pression hPa
0	995,661
0,03	995,660507306457
0,06	995,660507306457
0,09	995,660507306457
0,12	995,660507306457
0,15	995,660507306457
0,18	994,662951491773
0,21	995,660507306457
0,24	996,65806312114
0,27	994,662951491773
0,3	994,662951491773
0,33	996,65806312114
0,36	994,662951491773
0,39	995,660507306457
0,42	994,662951491773
0,45	994,662951491773
0,48	994,662951491773
0,51	995,660507306457
0,54	994,662951491773
0,57	995,660507306457
0,6	995,660507306457
0,63	995,660507306457
0,66	995,660507306457
0,69	995,660507306457
0,72	994,662951491773
0,75	994,662951491773
0,78	995,660507306457
0,81	994,662951491773
0,84	994,662951491773
0,87	995,660507306457
0,9	995,660507306457
0,93	995,660507306457
0,96	994,662951491773
0,99	994,662951491773
1,02	995,660507306457
1,05	994,662951491773
1,08	995,660507306457
1,11	993,66539567709
1,14	995,660507306457
1,17	995,660507306457
1,2	995,660507306457
1,23	995,660507306457
1,26	994,662951491773
1,29	994,662951491773
1,32	995,660507306457
1,35	996,65806312114
1,38	995,660507306457
1,41	996,65806312114
1,44	995,660507306457
1,47	995,660507306457
1,5	995,660507306457
1,53	994,662951491773
1,56	994,662951491773
1,59	995,660507306457
1,62	994,662951491773
1,65	995,660507306457
1,68	994,662951491773
1,71	995,660507306457
1,74	994,662951491773
1,77	994,662951491773
1,8	995,660507306457
1,83	996,65806312114
1,86	994,662951491773
1,89	995,660507306457
1,92	996,65806312114
1,95	995,660507306457
1,98	995,660507306457
2,01	995,660507306457
2,04	994,662951491773
2,07	995,660507306457
2,1	995,660507306457
2,13	995,660507306457
2,16	995,660507306457
2,19	995,660507306457
2,22	995,660507306457
2,25	994,662951491773
2,28	995,660507306457
2,31	995,660507306457
2,34	996,65806312114
2,37	994,662951491773
2,4	996,65806312114
2,43	994,662951491773
2,46	996,65806312114
2,49	994,662951491773
2,52	995,660507306457
2,55	995,660507306457
2,58	995,660507306457
2,61	994,662951491773
2,64	996,65806312114
2,67	994,662951491773
2,7	996,65806312114
2,73	994,662951491773
2,76	995,660507306457
2,79	995,660507306457
2,82	996,65806312114
2,85	994,662951491773
2,88	994,662951491773
2,91	995,660507306457
2,94	995,660507306457
2,97	995,660507306457
3	995,660507306457
3,03	995,660507306457
3,06	994,662951491773
3,09	995,660507306457
3,12	995,660507306457
3,15	995,660507306457
3,18	995,660507306457
3,21	995,660507306457
3,24	994,662951491773
3,27	996,65806312114
3,3	996,65806312114
3,33	994,662951491773
3,36	994,662951491773
3,39	995,660507306457
3,42	994,662951491773
3,45	995,660507306457
3,48	995,660507306457
3,51	996,65806312114
3,54	995,660507306457
3,57	994,662951491773
3,6	995,660507306457
3,63	994,662951491773
3,66	995,660507306457
3,69	995,660507306457
3,72	995,660507306457
3,75	994,662951491773
3,78	993,66539567709
3,81	994,662951491773
3,84	995,660507306457
3,87	995,660507306457
3,9	996,65806312114
3,93	994,662951491773
3,96	994,662951491773
3,99	994,662951491773
4,02	996,65806312114
4,05	995,660507306457
4,08	995,660507306457
4,11	995,660507306457
4,14	995,660507306457
4,17	993,66539567709
4,2	994,662951491773
4,23	994,662951491773
4,26	995,660507306457
4,29	995,660507306457
4,32	996,65806312114
4,35	994,662951491773
4,38	996,65806312114
4,41	995,660507306457
4,44	995,660507306457
4,47	995,660507306457
4,5	995,660507306457
4,53	995,660507306457
4,56	994,662951491773
4,59	993,66539567709
4,62	995,660507306457
4,65	994,662951491773
4,68	994,662951491773
4,71	995,660507306457
4,74	995,660507306457
4,77	994,662951491773
4,8	996,65806312114
4,83	995,660507306457
4,86	996,65806312114
4,89	995,660507306457
4,92	994,662951491773
4,95	989,675172418356
4,98	987,680060788989
5,01	986,682504974306
5,04	987,680060788989
5,07	987,680060788989
5,1	985,684949159622
5,13	984,687393344939
5,16	982,692281715572
5,19	982,692281715572
5,22	983,689837530255
5,25	982,692281715572
5,28	983,689837530255
5,31	983,689837530255
5,34	982,692281715572
5,37	982,692281715572
5,4	982,692281715572
5,43	982,692281715572
5,46	982,692281715572
5,49	982,692281715572
5,52	981,694725900888
5,55	983,689837530255
5,58	982,692281715572
5,61	982,692281715572
5,64	982,692281715572
5,67	984,687393344939
5,7	983,689837530255
5,73	982,692281715572
5,76	981,694725900888
5,79	983,689837530255
5,82	981,694725900888
5,85	983,689837530255
5,88	982,692281715572
5,91	982,692281715572
5,94	982,692281715572
5,97	982,692281715572
6	982,692281715572
6,03	982,692281715572
6,06	982,692281715572
6,09	983,689837530255
6,12	983,689837530255
6,15	983,689837530255
6,18	982,692281715572
6,21	982,692281715572
6,24	981,694725900888
6,27	981,694725900888
6,3	983,689837530255
6,33	982,692281715572
6,36	982,692281715572
6,39	982,692281715572
6,42	982,692281715572
6,45	983,689837530255
6,48	983,689837530255
6,51	982,692281715572
6,54	981,694725900888
6,57	981,694725900888
6,6	983,689837530255
6,63	981,694725900888
6,66	981,694725900888
6,69	982,692281715572
6,72	983,689837530255
6,75	982,692281715572
6,78	981,694725900888
6,81	983,689837530255
6,84	983,689837530255
6,87	981,694725900888
6,9	981,694725900888
6,93	982,692281715572
6,96	982,692281715572
6,99	982,692281715572
7,02	982,692281715572
7,05	983,689837530255
7,08	983,689837530255
7,11	981,694725900888
7,14	982,692281715572
7,17	982,692281715572
7,2	982,692281715572
7,23	982,692281715572
7,26	981,694725900888
7,29	982,692281715572
7,32	981,694725900888
7,35	981,694725900888
7,38	981,694725900888
7,41	982,692281715572
7,44	982,692281715572
7,47	981,694725900888
7,5	982,692281715572
7,53	983,689837530255
7,56	982,692281715572
7,59	982,692281715572
7,62	982,692281715572
7,65	983,689837530255
7,68	982,692281715572
7,71	982,692281715572
7,74	983,689837530255
7,77	981,694725900888
7,8	983,689837530255
7,83	983,689837530255
7,86	981,694725900888
7,89	982,692281715572
7,92	983,689837530255
7,95	981,694725900888
7,98	981,694725900888
8,01	982,692281715572
8,04	981,694725900888
8,07	983,689837530255
8,1	981,694725900888
8,13	983,689837530255
8,16	982,692281715572
8,19	983,689837530255
8,22	981,694725900888
8,25	982,692281715572
8,28	982,692281715572
8,31	983,689837530255
8,34	983,689837530255
8,37	981,694725900888
8,4	982,692281715572
8,43	982,692281715572
8,46	982,692281715572
8,49	982,692281715572
8,52	982,692281715572
8,55	983,689837530255
8,58	982,692281715572
8,61	982,692281715572
8,64	982,692281715572
8,67	983,689837530255
8,7	982,692281715572
8,73	982,692281715572
8,76	981,694725900888
8,79	983,689837530255
8,82	982,692281715572
8,85	982,692281715572
8,88	983,689837530255
8,91	981,694725900888
8,94	982,692281715572
8,97	982,692281715572
9	982,692281715572
9,03	982,692281715572
9,06	982,692281715572
9,09	982,692281715572
9,12	982,692281715572
9,15	982,692281715572
9,18	981,694725900888
9,21	983,689837530255
9,24	982,692281715572
9,27	981,694725900888
9,3	983,689837530255
9,33	981,694725900888
9,36	981,694725900888
9,39	981,694725900888
9,42	981,694725900888
9,45	982,692281715572
9,48	983,689837530255
9,51	982,692281715572
9,54	980,697170086205
9,57	982,692281715572
9,6	982,692281715572
9,63	982,692281715572
9,66	982,692281715572
9,69	981,694725900888
9,72	982,692281715572
9,75	982,692281715572
9,78	982,692281715572
9,81	982,692281715572
9,84	981,694725900888
9,87	982,692281715572
9,9	981,694725900888
9,93	981,694725900888
9,96	983,689837530255
9,99	982,692281715572
10,02	981,694725900888
10,05	982,692281715572
10,08	982,692281715572
10,11	981,694725900888
10,14	982,692281715572
10,17	982,692281715572
10,2	981,694725900888
10,23	982,692281715572
10,26	982,692281715572
10,29	982,692281715572
10,32	982,692281715572
10,35	980,697170086205
10,38	982,692281715572
10,41	982,692281715572
10,44	982,692281715572
10,47	982,692281715572
10,5	982,692281715572
10,53	983,689837530255
10,56	982,692281715572
10,59	982,692281715572
10,62	983,689837530255
10,65	981,694725900888
10,68	981,694725900888
10,71	981,694725900888
10,74	982,692281715572
10,77	982,692281715572
10,8	981,694725900888
10,83	981,694725900888
10,86	982,692281715572
10,89	983,689837530255
10,92	983,689837530255
10,95	981,694725900888
10,98	982,692281715572
11,01	982,692281715572
11,04	982,692281715572
11,07	982,692281715572
11,1	982,692281715572
11,13	981,694725900888
11,16	982,692281715572
11,19	982,692281715572
11,22	983,689837530255
11,25	982,692281715572
11,28	982,692281715572
11,31	982,692281715572
11,34	983,689837530255
11,37	982,692281715572
11,4	982,692281715572
11,43	983,689837530255
11,46	982,692281715572
11,49	982,692281715572
11,52	981,694725900888
11,55	981,694725900888
11,58	983,689837530255
11,61	983,689837530255
11,64	983,689837530255
11,67	982,692281715572
11,7	983,689837530255
11,73	982,692281715572
11,76	982,692281715572
11,79	982,692281715572
11,82	982,692281715572
11,85	981,694725900888
11,88	982,692281715572
11,91	982,692281715572
11,94	983,689837530255
11,97	983,689837530255
12	981,694725900888
12,03	981,694725900888
12,06	982,692281715572
12,09	983,689837530255
12,12	982,692281715572
12,15	981,694725900888
12,18	981,694725900888
12,21	982,692281715572
12,24	982,692281715572
12,27	983,689837530255
12,3	982,692281715572
12,33	983,689837530255
12,36	982,692281715572
12,39	981,694725900888
12,42	982,692281715572
12,45	981,694725900888
12,48	981,694725900888
12,51	981,694725900888
12,54	982,692281715572
12,57	982,692281715572
12,6	984,687393344939
12,63	983,689837530255
12,66	982,692281715572
12,69	982,692281715572
12,72	982,692281715572
12,75	982,692281715572
12,78	982,692281715572
12,81	982,692281715572
12,84	982,692281715572
12,87	982,692281715572
12,9	983,689837530255
12,93	982,692281715572
12,96	982,692281715572
12,99	982,692281715572
13,02	983,689837530255
13,05	982,692281715572
13,08	982,692281715572
13,11	981,694725900888
13,14	982,692281715572
13,17	981,694725900888
13,2	982,692281715572
13,23	981,694725900888
13,26	981,694725900888
13,29	981,694725900888
13,32	982,692281715572
13,35	981,694725900888
13,38	982,692281715572
13,41	982,692281715572
13,44	982,692281715572
13,47	982,692281715572
13,5	982,692281715572
13,53	982,692281715572
13,56	983,689837530255
13,59	980,697170086205
13,62	983,689837530255
13,65	983,689837530255
13,68	981,694725900888
13,71	983,689837530255
13,74	980,697170086205
13,77	982,692281715572
13,8	981,694725900888
13,83	983,689837530255
13,86	982,692281715572
13,89	982,692281715572
13,92	982,692281715572
13,95	982,692281715572
13,98	981,694725900888
14,01	982,692281715572
14,04	982,692281715572
14,07	981,694725900888
14,1	982,692281715572
14,13	982,692281715572
14,16	983,689837530255
14,19	981,694725900888
14,22	982,692281715572
14,25	981,694725900888
14,28	982,692281715572
14,31	981,694725900888
14,34	982,692281715572
14,37	982,692281715572
14,4	982,692281715572
14,43	982,692281715572
14,46	982,692281715572
14,49	981,694725900888
14,52	982,692281715572
14,55	982,692281715572
14,58	982,692281715572
14,61	982,692281715572
14,64	982,692281715572
14,67	983,689837530255
14,7	983,689837530255
14,73	983,689837530255
14,76	982,692281715572
14,79	982,692281715572
14,82	982,692281715572
14,85	981,694725900888
14,88	983,689837530255
14,91	982,692281715572
14,94	982,692281715572
14,97	982,692281715572
15	982,692281715572
15,03	982,692281715572
15,06	983,689837530255
15,09	981,694725900888
15,12	983,689837530255
15,15	981,694725900888
15,18	981,694725900888
15,21	982,692281715572
15,24	981,694725900888
15,27	982,692281715572
15,3	982,692281715572
15,33	982,692281715572
15,36	982,692281715572
15,39	981,694725900888
15,42	983,689837530255
15,45	981,694725900888
15,48	983,689837530255
15,51	982,692281715572
15,54	982,692281715572
15,57	981,694725900888
15,6	982,692281715572
15,63	981,694725900888
15,66	981,694725900888
15,69	982,692281715572
15,72	981,694725900888
15,75	982,692281715572
15,78	982,692281715572
15,81	981,694725900888
15,84	981,694725900888
15,87	982,692281715572
15,9	982,692281715572
15,93	982,692281715572
15,96	983,689837530255
15,99	982,692281715572
16,02	982,692281715572
16,05	982,692281715572
16,08	983,689837530255
16,11	981,694725900888
16,14	982,692281715572
16,17	983,689837530255
16,2	982,692281715572
16,23	981,694725900888
16,26	983,689837530255
16,29	982,692281715572
16,32	982,692281715572
16,35	982,692281715572
16,38	981,694725900888
16,41	982,692281715572
16,44	981,694725900888
16,47	981,694725900888
16,5	983,689837530255
16,53	980,697170086205
16,56	982,692281715572
16,59	982,692281715572
16,62	982,692281715572
16,65	982,692281715572
16,68	981,694725900888
16,71	981,694725900888
16,74	982,692281715572
16,77	980,697170086205
16,8	983,689837530255
16,83	982,692281715572
16,86	981,694725900888
16,89	982,692281715572
16,92	982,692281715572
16,95	982,692281715572
16,98	981,694725900888
17,01	982,692281715572
17,04	983,689837530255
17,07	981,694725900888
17,1	982,692281715572
17,13	982,692281715572
17,16	982,692281715572
17,19	981,694725900888
17,22	982,692281715572
17,25	982,692281715572
17,28	980,697170086205
17,31	981,694725900888
17,34	982,692281715572
17,37	982,692281715572
17,4	982,692281715572
17,43	982,692281715572
17,46	980,697170086205
17,49	983,689837530255
17,52	981,694725900888
